a,8167
e,12702
i,6966
o,7507
u,2758
b,1492
c,2782
d,4253
f,2228
g,2015
h,6094
j,153
k,772
l,4025
m,2406
n,6749
p,1929
q,95
r,5987
s,6327
t,9056
v,978
w,236
x,150
y,1974
z,74
